User,Date,Time in Locked Mode,,,,,,,
,28-Mar-13,16.26805556,,,,,,,
,28-May-13,5.596944444,,,,,,,
,29-Apr-13,16.42305556,,,,,,,
,29-Mar-13,8.1775,,,,,,,
,29-May-13,7.048333333,,,,,,,
,30-Apr-13,25.24,,,,,,,
,30-Mar-13,19.94361111,,,,,,,
,31-Mar-13,21.56972222,,,,,,,
7,1-Apr-13,12.46,,,,,,,
,1-May-13,15.61222222,,,,,,,
,2-Apr-13,16.97527778,,,,,,,
,2-May-13,18.32527778,,,,,,,
,3-Apr-13,17.40444444,,,,,,,
,3-May-13,16.78638889,,,,,,,
,4-Apr-13,23.17416667,,,,,,,
,4-May-13,19.06805556,,,,,,,
,5-Apr-13,15.69138889,,,,,,,
,6-Apr-13,25.105,,,,,,,
,6-May-13,23.77194444,,,,,,,
,7-Apr-13,6.834722222,,,,,,,
,7-May-13,5.094444444,,,,,,,
,8-Apr-13,13.31888889,,,,,,,
,9-May-13,3.407777778,,,,,,,
,10-Apr-13,9.685555556,,,,,,,
,11-Apr-13,20.17833333,,,,,,,
,12-Apr-13,17.08611111,,,,,,,
,12-May-13,26.1825,,,,,,,
,13-Apr-13,13.45583333,,,,,,,
,13-May-13,17.28305556,,,,,,,
,14-Apr-13,7.873055556,,,,,,,
,15-Apr-13,11.14083333,,,,,,,
,16-Apr-13,21.15361111,,,,,,,
,17-Apr-13,20.79777778,,,,,,,
,18-Apr-13,20.4625,,,,,,,
,19-Apr-13,17.53305556,,,,,,,
,20-Apr-13,20.04583333,,,,,,,
,21-Apr-13,17.41027778,,,,,,,
,22-Apr-13,9.843611111,,,,,,,
,23-Apr-13,15.54,,,,,,,
,24-Apr-13,24.47166667,,,,,,,
,25-Apr-13,19.9175,,,,,,,
,26-Apr-13,20.81166667,,,,,,,
,27-Apr-13,2.623888889,,,,,,,
,27-Mar-13,10.26222222,,,,,,,
,28-Apr-13,7.716388889,,,,,,,
,28-Mar-13,12.32694444,,,,,,,
,29-Apr-13,7.893333333,,,,,,,
,29-Mar-13,3.765,,,,,,,
,30-Apr-13,10.12694444,,,,,,,
,30-Mar-13,21.64888889,,,,,,,
,31-Mar-13,18.46666667,,,,,,,
8,1-Apr-13,6.105277778,,,,,,,
,1-May-13,8.3225,,,,,,,
,2-Apr-13,7.318888889,,,,,,,
,2-May-13,6.82,,,,,,,
,3-Apr-13,12.61055556,,,,,,,
,3-May-13,9.736111111,,,,,,,
,4-Apr-13,7.823611111,,,,,,,
,5-Apr-13,9.385833333,,,,,,,
,5-May-13,12.70527778,,,,,,,
,6-Apr-13,11.12777778,,,,,,,
,6-May-13,8.157777778,,,,,,,
,7-Apr-13,8.399444444,,,,,,,
,7-May-13,14.27416667,,,,,,,
,8-Apr-13,13.28777778,,,,,,,
,8-May-13,12.13083333,,,,,,,
,9-Apr-13,11.75,,,,,,,
,9-May-13,12.98333333,,,,,,,
,10-Apr-13,11.52194444,,,,,,,
,10-May-13,11.375,,,,,,,
,11-Apr-13,13.68361111,,,,,,,
,11-May-13,13.31527778,,,,,,,
,12-Apr-13,15.47805556,,,,,,,
,12-May-13,6.763055556,,,,,,,
,13-Apr-13,10.40833333,,,,,,,
,13-May-13,13.19777778,,,,,,,
